external_id;full_name;e_mail;mobile;pays;city;signup_at;status;consent_marketing;deleted_at;suppressed_until;brand_code;notes
CT-000422;Omar Tazi;sarah.mokoena.mar422@vg-eval.test;+212 627152693;MA;Rabat;2026-01-03T15:05:21Z;active;false;;;MARRAKECH;
CT-000775;Youssef Tazi;lucy.kiptoo.kil22045@vg-eval.test;+212 693851180;MA;Fes;2026-01-12T04:39:34Z;active;0;;;MARRAKECH;
CT-000434;Salma Bennani;sipho.mwangi.kil53128@vg-eval.test;+212 639992694;MA;Meknes;2026-02-05T06:30:50Z;active;FALSE;;;MARRAKECH;
CT-000836;Layla Elidrissi;esther.fassi.mar836@vg-eval.test;+212 628364234;MA;Tanger;2026-04-08T12:47:48Z;active;TRUE;;;MARRAKECH;
CT-000291;Salma Tazi;sarah.alaoui.kil65633@vg-eval.test;+212 650054920;MA;Tanger;2026-03-30T10:16:36Z;active;yes;;;MARRAKECH;
CT-000051;Omar Haddad;salma.bennani@vg-eval.test;+212 660242684;MA;Fes;2026-01-15T04:34:16Z;active;false;;;MARRAKECH;
CT-000310;Fatima Zahra;david.achieng.mar310@vg-eval.test;+212 630454160;MA;Rabat;2026-02-22T20:41:17Z;active;no;;;MARRAKECH;
CT-000283;Omar Tazi;mercy.mokoena.mar283@vg-eval.test;+212 686054353;MA;Oujda;2026-02-04T16:23:31Z;active;f;;;MARRAKECH;
CT-000386;Omar Bennani;rachid.kiptoo.mar386@vg-eval.test;+212 632338379;MA;Marrakech;2026-03-09T18:47:51Z;active;TRUE;;;MARRAKECH;
CT-000676;Fatima Bennani;samuel.nkosi.kil1367@vg-eval.test;+212 690220106;MA;Marrakech;2026-01-15T22:50:03Z;active;yes;;;MARRAKECH;
CT-000778;Omar Elidrissi;mercy.bennani.kil6890@vg-eval.test;+212 662520451;MA;Tanger;2026-03-08T07:23:23Z;active;FALSE;;;MARRAKECH;
CT-000719;Fatima Bennani;mercy.dlamini.mar719@vg-eval.test;+212 644112179;MA;Fes;2026-01-18T02:05:22Z;active;FALSE;;;MARRAKECH;
CT-000091;Fatima Tazi;victor.kiptoo.kil26437@vg-eval.test;+212 614436696;MA;Rabat;2026-02-10T18:34:05Z;active;false;;;MARRAKECH;
CT-000085;Layla Tazi;BRIAN.FASSI.MAR85@VG-EVAL.TEST;+212 611656826;MA;Oujda;2026-01-28T07:47:08Z;active;0;;;MARRAKECH;
CT-000129;Youssef Bennani;grace.bennani.mar129@vg-eval.test;+212 633358752;MA;Rabat;2026-04-09T18:58:07Z;active;FALSE;;;MARRAKECH;
CT-000119;Salma Elidrissi;salma.kiptoo.mar119@vg-eval.test;+212 651662108;MA;Fes;2026-03-02T01:04:09Z;active;TRUE;;;MARRAKECH;
CT-000207;Omar Tazi;david.vermeulen.mar207@vg-eval.test;+212 616839672;MA;Tanger;2026-03-05T09:30:15Z;active;Y;;;MARRAKECH;
CT-000227;Fatima Haddad;ann.wanjiru.mar227@vg-eval.test;+212 648646762;MA;Agadir;2026-04-08T00:38:17Z;active;false;;;MARRAKECH;
CT-000787;Omar Elidrissi;joan.mutua.mar787@vg-eval.test;+212 689343316;MA;Casablanca;2026-01-18T20:18:55Z;active;true;;;MARRAKECH;
CT-000478;Youssef Bennani;george.otieno.mar478@vg-eval.test;+212 678582389;MA;Fes;2026-02-20T05:21:55Z;active;no;;;MARRAKECH;
CT-000103;Salma Benali;lucy.zahra.mar103@vg-eval.test;+212 610334491;MA;Marrakech;2026-03-01T23:15:09Z;active;false;;;MARRAKECH;
CT-000908;Layla Haddad;alice.wanjiru.kil43188@vg-eval.test;+212 646310601;MA;Casablanca;2026-02-21T23:30:55Z;active;true;;;MARRAKECH;
CT-000244;Youssef Haddad;peter.berrada.mar244@vg-eval.test;+212 685835220;MA;Oujda;2026-02-18T11:41:20Z;active;f;;;MARRAKECH;
CT-000705;Layla Zahra;nomsa.vermeulen.mar705@vg-eval.test;+212 679112465;MA;Fes;2026-01-28T19:02:18Z;active;TRUE;;;MARRAKECH;
CT-000857;Fatima Bennani;simon.zahra.mar857@vg-eval.test;+212 619238855;MA;Marrakech;2026-03-10T06:37:32Z;active;no;;;MARRAKECH;
CT-000684;Rachid Benali;diana.njenga.mar684@vg-eval.test;+212 674571899;MA;Agadir;2026-03-14T06:36:08Z;active;f;;;MARRAKECH;
CT-000298;Fatima Benali;nomsa.kamau.mar298@vg-eval.test;+212 630501531;MA;Rabat;2026-02-23T22:31:29Z;active;f;;;MARRAKECH;
CT-000629;Layla Elidrissi;lerato.pretorius.kil21357@vg-eval.test;+212 600050964;MA;Meknes;2026-02-16T14:02:08Z;active;f;;;MARRAKECH;
CT-000523;Omar Zahra;james.elidrissi.mar523@vg-eval.test;+212 673299222;MA;Oujda;2026-03-04T05:46:40Z;active;0;;;MARRAKECH;
CT-000683;Salma Tazi;pieter.zahra.mar683@vg-eval.test;+212 628132969;MA;Agadir;2026-03-30T22:34:03Z;active;Y;;;MARRAKECH;
CT-000756;Fatima Haddad;michael.cheruiyot.mar756@vg-eval.test;+212 650282494;MA;Casablanca;2026-03-06T23:46:36Z;active;0;;;MARRAKECH;
CT-000670;Salma Elidrissi;pieter.kimani.mar670@vg-eval.test;+212 692715109;MA;Rabat;2026-01-19T20:27:56Z;active;FALSE;;;MARRAKECH;
CT-000130;Omar Benali;isaac.dlamini.mar130@vg-eval.test;+212 673751029;MA;Tanger;2026-02-09T15:55:11Z;active;false;;;MARRAKECH;
CT-000769;Fatima Haddad;ann.vermeulen.mar769@vg-eval.test;+212 693606452;MA;Agadir;2026-02-01T12:45:51Z;active;0;;;MARRAKECH;
CT-000698;Youssef Tazi;sipho.zahra.kil57951@vg-eval.test;+212 611921014;MA;Tanger;2026-01-06T10:43:48Z;active;FALSE;;;MARRAKECH;
CT-000157;Youssef Elidrissi;karim.mokoena.mar157@vg-eval.test;+212 675569315;MA;Oujda;2026-02-27T09:02:12Z;active;true;;;MARRAKECH;
CT-000632;Salma Bennani;dennis.benali.mar632@vg-eval.test;+212 621927621;MA;Marrakech;2026-02-19T20:00:35Z;active;Y;;;MARRAKECH;
CT-000848;Salma Haddad;mercy.fassi.mar848@vg-eval.test;+212 651422117;MA;Rabat;2026-02-05T16:48:18Z;active;yes;;;MARRAKECH;
CT-000447;Youssef Haddad;nomsa.wafula.kil47497@vg-eval.test;+212 665358763;MA;Meknes;2026-02-14T07:40:48Z;active;1;;;MARRAKECH;
CT-000307;Rachid Tazi;lerato.njoroge.mar307@vg-eval.test;+212 605118888;MA;Agadir;2026-01-01T21:29:32Z;active;1;;;MARRAKECH;
CT-000477;Salma Tazi;nancy.kiptoo.kil9908@vg-eval.test;+212 606850963;MA;Casablanca;2026-01-10T14:40:06Z;active;FALSE;;;MARRAKECH;
CT-974984;Johan Elidrissi;z1880@vg-eval.test;0712000000;ZZ;City;2026-02-01;active;true
CT-000560;Salma Benali;amina.vermeulen.mar560@vg-eval.test;+212 644195441;MA;Agadir;2026-04-05T17:55:59Z;active;yes;;;MARRAKECH;
CT-000633;Rachid Bennani;victor.kimani.kil31249@vg-eval.test;+212 683934414;MA;Tanger;2026-02-09T07:05:09Z;active;0;;;MARRAKECH;
CT-000869;Rachid Bennani;mercy.mokoena.kil17028@vg-eval.test;+212 663682364;MA;Fes;2026-01-15T10:53:02Z;active;TRUE;;;MARRAKECH;
CT-000116;Youssef Bennani;james.alaoui.kil10265@vg-eval.test;+212 617685386;MA;Agadir;2026-01-19T21:09:20Z;active;true;;;MARRAKECH;
CT-000596;Omar Elidrissi;peter.njenga.mar596@vg-eval.test;+212 642579393;MA;Tanger;2026-01-23T01:49:59Z;active;no;;;MARRAKECH;
CT-000611;Omar Benali;dennis.odhiambo.mar611@vg-eval.test;+212 682266519;MA;Agadir;2026-04-03T15:18:27Z;active;no;;;MARRAKECH;
CT-000735;Fatima Zahra;zanele.naidoo.mar735@vg-eval.test;+212 636857850;MA;Marrakech;2026-03-18T04:31:43Z;active;false;;;MARRAKECH;
CT-000288;Youssef Bennani;mary.mutua.mar288@vg-eval.test;+212 662547551;MA;Agadir;2026-04-02T19:17:57Z;active;false;;;MARRAKECH;
CT-000838;Salma Benali;john.haddad.mar838@vg-eval.test;+212 600881810;MA;Oujda;2026-02-13T17:19:28Z;active;yes;;;MARRAKECH;
CT-000125;Salma Zahra;ann.njenga.mar125@vg-eval.test;+212 625825531;MA;Tanger;2026-02-02T20:42:54Z;active;no;;;MARRAKECH;
CT-000493;Fatima Haddad;fatima.alaoui.mar493@vg-eval.test;+212 611231283;MA;Tanger;2026-01-25T07:25:36Z;active;yes;;;MARRAKECH;
CT-000192;Omar Benali;michael.odhiambo.mar192@vg-eval.test;+212 650590199;MA;Meknes;2026-04-09T08:55:14Z;active;f;;;MARRAKECH;
CT-000209;Fatima Zahra;esther.njoroge.mar209@vg-eval.test;+212 619225812;MA;Marrakech;2026-01-25T04:42:29Z;active;TRUE;;;MARRAKECH;
CT-000543;Rachid Zahra;simon.barasa.mar543@vg-eval.test;+212 666966349;MA;Fes;2026-01-15T20:49:17Z;active;1;;;MARRAKECH;
CT-000245;Salma Haddad;esther.njoroge.mar245@vg-eval.test;+212 639993683;MA;Agadir;2026-03-15T22:49:48Z;active;f;;;MARRAKECH;
CT-000343;Fatima Tazi;rose.alaoui.kil66721@vg-eval.test;+212 614996241;MA;Fes;2026-03-27T06:57:33Z;active;0;;;MARRAKECH;
CT-000725;Youssef Haddad;victor.achieng.kil62872@vg-eval.test;+212 636819566;MA;Tanger;2026-01-08T16:47:30Z;active;yes;;;MARRAKECH;
CT-000084;Fatima Elidrissi;paul.naidoo.mar84@vg-eval.test;+212 635694291;MA;Meknes;2026-02-14T15:38:00Z;active;TRUE;;;MARRAKECH;
CT-000332;Fatima Haddad;esther.naidoo.mar332@vg-eval.test;+212 669141734;MA;Agadir;2026-04-04T18:40:23Z;active;false;;;MARRAKECH;
CT-000803;Salma Zahra;amina.naidoo.mar803@vg-eval.test;+212 620332556;MA;Marrakech;2026-04-02T01:22:05Z;active;yes;;;MARRAKECH;
CT-000805;Rachid Haddad;faith.berrada.mar805@vg-eval.test;+212 627106775;MA;Oujda;2026-01-14T20:26:21Z;active;TRUE;;;MARRAKECH;
CT-000687;Fatima Benali;amina.kamau.mar687@vg-eval.test;+212 698425333;MA;Casablanca;2026-03-01T21:35:26Z;active;f;;;MARRAKECH;
CT-000748;Rachid Tazi;alice.vermeulen.mar748@vg-eval.test;+212 620431767;MA;Casablanca;2026-04-04T13:34:57Z;active;0;;;MARRAKECH;
CT-000284;Layla Tazi;isaac.tazi.kil46649@vg-eval.test;+212 665980421;MA;Agadir;2026-03-11T17:03:56Z;active;true;;;MARRAKECH;
CT-000356;Omar Zahra;esther.odhiambo.mar356@vg-eval.test;+212 635131245;MA;Fes;2026-02-17T21:34:34Z;active;0;;;MARRAKECH;
CT-000405;Fatima Haddad;rachid.dlamini.mar405@vg-eval.test;+212 614764263;MA;Tanger;2026-02-27T09:46:53Z;active;f;;;MARRAKECH;
CT-000400;Youssef Bennani;mercy.wanjiru.mar400@vg-eval.test;+212 627517279;MA;Tanger;2026-01-20T02:41:42Z;active;true;;;MARRAKECH;
CT-000167;Salma Tazi;faith.mokoena.mar167@vg-eval.test;+212 654352937;MA;Meknes;2026-02-14T20:46:26Z;active;1;;;MARRAKECH;
CT-000711;Layla Elidrissi;omar.pretorius.mar711@vg-eval.test;+212 682058573;MA;Rabat;2026-04-08T09:47:57Z;active;TRUE;;;MARRAKECH;
CT-000016;Layla Haddad;peter.berrada.mar16@vg-eval.test;+212 677745372;MA;Agadir;2026-01-08T00:55:20Z;active;TRUE;;;MARRAKECH;
CT-000679;Salma Zahra;joan.fassi.mar679@vg-eval.test;+212 615947408;MA;Fes;2026-03-26T09:41:08Z;active;true;;;MARRAKECH;
CT-000230;Omar Zahra;john.fassi.mar230@vg-eval.test;+212 638332598;MA;Marrakech;2026-02-15T01:51:56Z;active;0;;;MARRAKECH;
CT-000163;Rachid Tazi;kevin.vermeulen.mar163@vg-eval.test;+212 689217957;MA;Tanger;2026-04-06T03:25:08Z;active;1;;;MARRAKECH;
CT-000878;Layla Bennani;johan.kiptoo.mar878@vg-eval.test;+212 690339286;MA;Rabat;2026-01-06T08:13:06Z;active;f;;;MARRAKECH;
CT-000009;Fatima Tazi;johan.alaoui.mar9@vg-eval.test;+212 626011290;MA;Fes;2026-04-13T16:41:23Z;active;f;;;MARRAKECH;
CT-000870;Layla Benali;samuel.njoroge.mar870@vg-eval.test;+212 605227256;MA;Oujda;2026-03-06T15:16:01Z;active;no;;;MARRAKECH;
CT-000867;Fatima Tazi;kevin.cheruiyot.kil20712@vg-eval.test;+212 649381214;MA;Agadir;2026-03-16T07:28:49Z;active;true;;;MARRAKECH;
CT-000648;Rachid Haddad;nancy.vermeulen.mar648@vg-eval.test;+212 649888058;MA;Marrakech;2026-03-24T03:12:33Z;active;Y;;;MARRAKECH;
CT-000864;Salma Elidrissi;peter.njoroge.mar864@vg-eval.test;+212 629551837;MA;Agadir;2026-01-26T04:18:54Z;active;true;;;MARRAKECH;
CT-000267;Fatima Bennani;thandi.kiptoo.mar267@vg-eval.test;+212 639662736;MA;Agadir;2026-02-18T14:19:51Z;active;no;;;MARRAKECH;
CT-996554;David Elidrissi;z202@vg-eval.test;0712000000;ZZ;City;2026-02-01;active;true
CT-000763;Fatima Tazi;ann.alaoui.kil16619@vg-eval.test;+212 657250216;MA;Agadir;2026-03-02T07:36:25Z;active;yes;;;MARRAKECH;
CT-000274;Fatima Elidrissi;salma.pretorius.kil67750@vg-eval.test;+212 618456750;MA;Agadir;2026-03-10T19:00:54Z;active;no;;;MARRAKECH;
CT-000151;Layla Bennani;sarah.elidrissi.kil283@vg-eval.test;+212 634867646;MA;Rabat;2026-02-23T06:20:56Z;active;no;;;MARRAKECH;
CT-000194;Omar Elidrissi;thandi.naidoo.mar194@vg-eval.test;+212 680811344;MA;Agadir;2026-02-03T09:26:13Z;active;yes;;;MARRAKECH;
CT-000262;Salma Tazi;lucy.alaoui.kil11491@vg-eval.test;+212 639127083;MA;Agadir;2026-01-20T03:38:06Z;active;yes;;;MARRAKECH;
CT-000250;Omar Elidrissi;sarah.haddad.mar250@vg-eval.test;+212 668464616;MA;Marrakech;2026-01-31T05:50:22Z;active;0;;;MARRAKECH;
CT-000120;Salma Zahra;johan.njoroge.mar120@vg-eval.test;+212 609939574;MA;Meknes;2026-01-22T15:52:48Z;active;false;;;MARRAKECH;
CT-000640;Layla Tazi;yassine.naidoo.mar640@vg-eval.test;+212 680447317;MA;Rabat;2026-04-05T01:58:22Z;active;true;;;MARRAKECH;
CT-000293;Omar Tazi;daniel.kimani.mar293@vg-eval.test;+212 689592199;MA;Fes;2026-02-24T00:38:02Z;active;1;;;MARRAKECH;
CT-000127;Fatima Haddad;johan.cheruiyot.mar127@vg-eval.test;+212 694428078;MA;Oujda;2026-01-28T08:08:47Z;active;0;;;MARRAKECH;
CT-000238;Layla Haddad;mercy.mokoena.mar238@vg-eval.test;+212 650932038;MA;Marrakech;2026-04-11T07:02:56Z;active;yes;;;MARRAKECH;
CT-000703;Rachid Zahra;amina.njoroge.mar703@vg-eval.test;+212 692695282;MA;Marrakech;2026-01-12T12:53:56Z;active;no;;;MARRAKECH;
CT-000718;Rachid Zahra;diana.vermeulen.kil51211@vg-eval.test;+212 618797980;MA;Agadir;2026-01-20T23:12:17Z;active;yes;;;MARRAKECH;
CT-000265;Omar Bennani;joan.njoroge.mar265@vg-eval.test;+212 603785626;MA;Tanger;2026-04-04T05:02:32Z;active;true;;;MARRAKECH;
CT-000255;Layla Haddad;kevin.pretorius.mar255@vg-eval.test;+212 603574203;MA;Rabat;2026-01-10T00:31:54Z;active;1;;;MARRAKECH;
CT-000590;Fatima Elidrissi;fatima.naidoo.mar590@vg-eval.test;+212 671174317;MA;Fes;2026-01-13T14:06:50Z;active;TRUE;;;MARRAKECH;
CT-000595;Layla Zahra;ruth.mokoena.mar595@vg-eval.test;+212 607973111;MA;Fes;2026-03-22T22:31:10Z;active;no;;;MARRAKECH;
CT-000734;Rachid Zahra;mercy.bennani.kil66433@vg-eval.test;+212 638323634;MA;Casablanca;2026-01-10T05:30:30Z;active;yes;;;MARRAKECH;
CT-000822;Fatima Bennani;paul.zahra.mar822@vg-eval.test;+212 626088548;MA;Rabat;2026-01-14T13:15:12Z;active;Y;;;MARRAKECH;
CT-000790;Omar Benali;amina.nkosi.mar790@vg-eval.test;+212 628387430;MA;Agadir;2026-04-09T03:40:58Z;active;FALSE;;;MARRAKECH;
CT-000391;Rachid Haddad;george.njoroge.mar391@vg-eval.test;+212 677847283;MA;Agadir;2026-02-10T19:58:32Z;active;no;;;MARRAKECH;
CT-000295;Youssef Benali;johan.odhiambo.kil635@vg-eval.test;+212 649125686;MA;Agadir;2026-02-19T18:07:02Z;active;0;;;MARRAKECH;
CT-000248;Omar Bennani;caroline.okoth.mar248@vg-eval.test;+212 680578401;MA;Fes;2026-04-17T21:32:47Z;active;true;;;MARRAKECH;
CT-000222;Salma Haddad;lerato.vermeulen.mar222@vg-eval.test;+212 650133193;MA;Fes;2026-03-02T11:00:22Z;active;true;;;MARRAKECH;
CT-000515;Salma Benali;amina.elidrissi.mar515@vg-eval.test;+212 666162060;MA;Meknes;2026-04-07T18:21:03Z;active;true;;;MARRAKECH;
CT-000697;Salma Zahra;david.nkosi.mar697@vg-eval.test;+212 662567300;MA;Casablanca;2026-01-26T11:20:35Z;active;Y;;;MARRAKECH;
CT-000056;Rachid Zahra;faith.mokoena.mar56@vg-eval.test;+212 675597214;MA;Agadir;2026-03-20T17:26:08Z;active;0;;;MARRAKECH;
CT-000757;Omar Bennani;george.achieng.mar757@vg-eval.test;+212 669748648;MA;Fes;2026-01-02T06:33:06Z;active;Y;;;MARRAKECH;
CT-000649;Rachid Tazi;nomsa.wafula.mar649@vg-eval.test;+212 658776945;MA;Agadir;2026-04-01T08:22:36Z;active;yes;;;MARRAKECH;
CT-000290;Salma Benali;john.berrada.kil4322@vg-eval.test;+212 697820863;MA;Marrakech;2026-01-24T06:11:52Z;active;0;;;MARRAKECH;
CT-000080;Fatima Haddad;diana.zahra.mar80@vg-eval.test;+212 625420966;MA;Casablanca;2026-02-10T21:00:36Z;active;yes;;;MARRAKECH;
CT-000286;Omar Benali;michael.odhiambo.mar286@vg-eval.test;+212 686703617;MA;Tanger;2026-03-16T10:51:00Z;active;TRUE;;;MARRAKECH;
CT-000652;Youssef Haddad;david.elidrissi.mar652@vg-eval.test;+212 617382546;MA;Fes;2026-04-16T20:38:03Z;active;0;;;MARRAKECH;
CT-000031;Salma Bennani;fatima.zahra@vg-eval.test;+212 605248324;MA;Rabat;2026-02-07T06:42:25Z;active;Y;;;MARRAKECH;
CT-000580;Omar Bennani;amina.tazi.mar580@vg-eval.test;+212 675335347;MA;Tanger;2026-01-11T09:41:46Z;active;no;;;MARRAKECH;
CT-000726;Rachid Zahra;ruth.mokoena.mar726@vg-eval.test;+212 658253204;MA;Tanger;2026-03-09T19:31:01Z;active;FALSE;;;MARRAKECH;
CT-000626;Rachid Benali;nancy.pretorius.kil40338@vg-eval.test;+212 695463509;MA;Agadir;2026-03-28T01:28:56Z;active;TRUE;;;MARRAKECH;
CT-000636;Rachid Haddad;john.elidrissi.kil65552@vg-eval.test;+212 656873013;MA;Meknes;2026-02-11T11:10:31Z;active;f;;;MARRAKECH;
CT-000138;Fatima Bennani;alice.zahra.mar138@vg-eval.test;+212 698765539;MA;Marrakech;2026-01-26T12:47:26Z;active;yes;;;MARRAKECH;
CT-000856;Youssef Haddad;lucy.bennani.mar856@vg-eval.test;+212 639734359;MA;Tanger;2026-01-04T09:58:17Z;active;1;;;MARRAKECH;
CT-000905;Layla Haddad;mercy.pretorius.mar905@vg-eval.test;+212 605758850;MA;Marrakech;2026-03-04T21:19:01Z;active;0;;;MARRAKECH;
CT-000885;Youssef Zahra;johan.vermeulen.kil65710@vg-eval.test;+212 645677602;MA;Rabat;2026-04-06T19:34:56Z;active;false;;;MARRAKECH;
CT-000586;Rachid Elidrissi;yassine.dlamini.mar586@vg-eval.test;+212 663973481;MA;Casablanca;2026-02-15T02:13:10Z;active;yes;;;MARRAKECH;
CT-000431;Salma Bennani;lucy.nkosi.mar431@vg-eval.test;+212 616712916;MA;Meknes;2026-02-25T22:25:04Z;active;f;;;MARRAKECH;
CT-000784;Rachid Elidrissi;ann.nkosi.kil57031@vg-eval.test;+212 639910794;MA;Oujda;2026-03-22T01:31:46Z;active;false;;;MARRAKECH;
CT-000729;Fatima Bennani;joan.vermeulen.mar729@vg-eval.test;+212 637820926;MA;Fes;2026-03-25T18:34:55Z;active;FALSE;;;MARRAKECH;
CT-000427;Fatima Tazi;dennis.zahra.mar427@vg-eval.test;+212 642986102;MA;Meknes;2026-04-16T18:30:38Z;active;false;;;MARRAKECH;
CT-000606;Salma Benali;peter.okoth.mar606@vg-eval.test;+212 695069779;MA;Agadir;2026-02-08T21:54:59Z;active;no;;;MARRAKECH;
CT-000395;Omar Tazi;karim.otieno.kil8532@vg-eval.test;+212 655424751;MA;Casablanca;2026-01-19T20:13:47Z;active;true;;;MARRAKECH;
CT-000808;Layla Elidrissi;nancy.vermeulen.mar808@vg-eval.test;+212 650664441;MA;Fes;2026-03-11T16:13:14Z;active;f;;;MARRAKECH;
CT-000034;Rachid Elidrissi;rachid.mwangi.mar34@vg-eval.test;+212 649002064;MA;Fes;2026-03-25T15:09:12Z;active;FALSE;;;MARRAKECH;
CT-000104;Fatima Zahra;michael.dlamini.mar104@vg-eval.test;+212 606458443;MA;Casablanca;2026-03-24T01:37:52Z;active;f;;;MARRAKECH;
CT-000109;Rachid Zahra;kevin.berrada.kil35997@vg-eval.test;+212 672191229;MA;Rabat;2026-02-02T15:05:33Z;active;true;;;MARRAKECH;
CT-000350;Layla Tazi;esther.wafula.kil67833@vg-eval.test;+212 647019683;MA;Fes;2026-03-21T05:24:49Z;active;true;;;MARRAKECH;
CT-000772;Layla Zahra;david.njoroge.kil2301@vg-eval.test;+212 682848011;MA;Marrakech;2026-02-05T16:39:44Z;active;no;;;MARRAKECH;
CT-000476;Rachid Bennani;esther.nkosi.mar476@vg-eval.test;+212 636654405;MA;Casablanca;2026-04-02T19:53:43Z;active;true;;;MARRAKECH;
CT-000019;Youssef Elidrissi;yassine.wafula.kil31009@vg-eval.test;+212 647811228;MA;Casablanca;2026-01-27T02:51:20Z;active;1;;;MARRAKECH;
CT-000509;Salma Haddad;michael.wafula.mar509@vg-eval.test;+212 681363587;MA;Fes;2026-02-04T23:06:06Z;active;0;;;MARRAKECH;
CT-000045;Rachid Bennani;isaac.bennani.mar45@vg-eval.test;+212 630577997;MA;Tanger;2026-01-04T17:27:50Z;active;true;;;MARRAKECH;
CT-000299;Salma Bennani;lucy.dlamini.mar299@vg-eval.test;+212 677522727;MA;Marrakech;2026-03-02T12:45:59Z;active;0;;;MARRAKECH;
CT-000368;Omar Haddad;rose.nkosi.mar368@vg-eval.test;+212 673452478;MA;Fes;2026-01-28T02:39:12Z;active;true;;;MARRAKECH;
CT-000853;Rachid Benali;kevin.zahra.mar853@vg-eval.test;+212 672301469;MA;Meknes;2026-02-05T06:03:07Z;active;TRUE;;;MARRAKECH;
CT-948707;Sarah Alaoui;z8004@vg-eval.test;0712000000;ZZ;City;2026-02-01;active;true
CT-000598;Youssef Zahra;isaac.cheruiyot.mar598@vg-eval.test;+212 600561558;MA;Agadir;2026-04-03T16:18:58Z;active;f;;;MARRAKECH;
CT-000041;Layla Haddad;omar.elidrissi@vg-eval.test;+212 602476779;MA;Meknes;2026-04-15T21:18:25Z;active;Y;;;MARRAKECH;
CT-000634;Fatima Zahra;layla.kamau.mar634@vg-eval.test;+212 664590380;MA;Casablanca;2026-02-14T12:18:12Z;active;yes;;;MARRAKECH;
CT-000306;Fatima Elidrissi;grace.haddad.mar306@vg-eval.test;+212 625846230;MA;Tanger;2026-02-11T17:27:58Z;active;false;;;MARRAKECH;
CT-000292;Rachid Elidrissi;simon.wanjiru.mar292@vg-eval.test;+212 637193743;MA;Rabat;2026-04-16T15:26:40Z;active;Y;;;MARRAKECH;
CT-000398;Omar Benali;fatima.zahra.mar398@vg-eval.test;+212 699151366;MA;Fes;2026-01-11T19:44:17Z;active;FALSE;;;MARRAKECH;
CT-000088;Layla Elidrissi;ruth.kamau.mar88@vg-eval.test;+212 657834871;MA;Meknes;2026-01-10T06:10:20Z;active;Y;;;MARRAKECH;
CT-000024;Youssef Haddad;george.berrada.kil13097@vg-eval.test;+212 668127644;MA;Meknes;2026-01-07T04:18:52Z;active;f;;;MARRAKECH;
