external_id,full_name,email,phone,country,city,signup_at,status,consent_marketing,deleted_at,suppressed_until,brand_code,notes
CT-008769,Simon Vermeulen,george.pretorius.kil8427@vg-eval.test,0726122044,KE,Machakos,2026-03-13T00:38:22Z,active,TRUE,,,KILELE,app install cohort Q1
CT-009558,Pieter Berrada,yassine.wanjiru.kil9186@vg-eval.test,025705418246,KE,Nairobi,2026-02-10T02:05:10Z,active,true,,,KILELE,loyalty tier: silver
CT-015644,Salma Kimani,johan.mokoena.kil15061@vg-eval.test,254-730-455774,KE,Nairobi,2026-03-20T08:32:17Z,bounced,f,,,KILELE,
CT-080479,Rose Odhiambo,pieter.cheruiyot.kil77253@vg-eval.test,+254 727 144 345,TZ,Machakos,2026-03-09T02:29:25Z,active,,,,KILELE,
CT-062480,Lerato Achieng,george.wafula.kil60007@vg-eval.test,,KE,Eldoret,2026-04-12T03:35:03Z,active,0,,,KILELE,imported from legacy CRM 2025
CT-059881,Esther Berrada,grace.elidrissi.kil57493@vg-eval.test,0709563450,KE,Mombasa,2026-01-19T05:21:37Z,active,1,,,KILELE,loyalty tier: silver
CT-002794,Yassine Kimani,david.mutua.kil2687@vg-eval.test,025727953664,KE,Mombasa,2026-03-02T22:39:17Z,active,false,,,KILELE,referral programme member
CT-019857,Johan Mutua,zanele.barasa.kil19108@vg-eval.test,0728665257,KE,Kisumu,2026-02-28T01:03:32Z,active,,,,KILELE,app install cohort Q1
CT-046593,Samuel Otieno,salma.mwangi.kil44770@vg-eval.test,0736695714,TZ,Thika,2026-01-26,active,TRUE,,,KILELE,app install cohort Q1
CT-067691,Johan Nkosi,alice.benali.kil64993@vg-eval.test,+254 710 368 929,KE,Nakuru,2026-04-07T00:56:39Z,active,1,,,KILELE,app install cohort Q1
CT-007937,Nomsa Naidoo,george.tazi.kil7624@vg-eval.test,0711364133,KE,Kisumu,2026-01-28T21:00:01Z,active,Y,,,KILELE,loyalty tier: silver
CT-036533,John Zahra,john.mokoena.kil35104@vg-eval.test,0715259942,ET,Nyeri,2026-03-05T14:49:43Z,active,1,,,KILELE,loyalty tier: silver
CT-080205,Samuel Kimani,isaac.bennani.kil76991@vg-eval.test,,UG,Kericho,2026-03-28T16:12:59Z,active,true,,,KILELE,app install cohort Q1
CT-012285,Joan Tazi,nomsa.odhiambo.kil11811@vg-eval.test,0712480365,KE,Kericho,2026-03-19T09:33:26Z,active,1,,,KILELE,loyalty tier: silver
CT-071077,Daniel Mutua,sipho.wafula.kil68248@vg-eval.test,0707225519,KE,Kisumu,2026-02-25T19:04:59Z,bounced,no,,,KILELE,
CT-044217,Nomsa Nkosi,diana.berrada.kil42488@vg-eval.test,0700670418,KE,Kisumu,2026-03-04T22:09:09Z,active,true,,,KILELE,imported from legacy CRM 2025
CT-011802,Dennis Mwangi,amina.bennani.kil11346@vg-eval.test,025736784026,KE,Thika,2026-02-24T08:03:41Z,active,yes,,,KILELE,
CT-073030,Zanele Fassi,faith.okoth.kil70122@vg-eval.test,025717561757,TZ,Machakos,2026-03-09T04:28:19Z,active,TRUE,,,KILELE,app install cohort Q1
CT-056108,Daniel Mokoena,thandi.pretorius.kil53882@vg-eval.test,254-715-607346,KE,Thika,2026-02-25,active,yes,,,KILELE,loyalty tier: silver
CT-007656,Yassine Barasa,george.kamau.kil7351@vg-eval.test,254-724-828719,-,Thika,2026-02-20T04:26:26Z,pending,TRUE,,,KILELE,
CT-004262,Amina Tazi,caroline.nkosi.kil4091@vg-eval.test,025702422881,-,Thika,2026-02-14T12:39:15Z,bounced,1,,,KILELE,
CT-015145,Amina Barasa,pieter.nkosi.kil14580@vg-eval.test,0708644002,ET,Nyeri,2026-01-24T11:07:14Z,active,yes,,,KILELE,
CT-041843,Brian Zahra,johan.mwangi.kil40196@vg-eval.test,+254 701 326 962,KE,Nakuru,2026-03-07T10:25:29Z,active,yes,,,KILELE,referral programme member
CT-000082,Paul Dlamini,simon.nkosi.kil82@vg-eval.test,,KE,Kericho,2026-04-02T01:18:47Z,active,no,,,KILELE,
CT-064215,Simon Mutua,alice.vermeulen.kil61664@vg-eval.test,+254 704 706 906,RW,Kericho,2026-02-05T08:40:25Z,active,,,,KILELE,
CT-027995,Pieter Njoroge,joan.wafula.kil26937@vg-eval.test,,KE,Kisumu,2026-02-25T19:38:13Z,active,,,,KILELE,
CT-016889,Ruth Vermeulen,thandi.mokoena.kil16250@vg-eval.test,0701722565,KE,Mombasa,2026-03-08T11:35:46Z,active,yes,,,KILELE,
CT-047965,Daniel Benali,mary.elidrissi.kil46085@vg-eval.test,0733614633,KE,Kisumu,2026-02-13T15:38:02Z,active,Y,,,KILELE,opted in at checkout
CT-004511,Isaac Bennani,rachid.mwangi.kil4332@vg-eval.test,+254 727 848 131,KE,Thika,2026-01-09T03:25:59Z,active,1,,,KILELE,opted in at checkout
CT-002617,Caroline Pretorius,diana.njoroge.kil2513@vg-eval.test,0723718468,KE,Eldoret,2026-01-26T13:43:47Z,active,FALSE,,,KILELE,
CT-022376,Nancy Mokoena,amina.kamau.kil21530@vg-eval.test,254-720-471315,KE,Eldoret,2026-02-14T02:09:47Z,active,f,,,KILELE,app install cohort Q1
CT-067498,Dennis Haddad,faith.mwangi.kil64809@vg-eval.test,025714947878,Kenya,Kericho,2026-02-09T05:06:09Z,active,true,,,KILELE,
CT-042501,Rachid Elidrissi,rose.kimani.kil40831@vg-eval.test,,SS,Kisumu,2026-04-04T18:50:46Z,active,yes,,,KILELE,
CT-041748,Rose Cheruiyot,dennis.bennani.kil40104@vg-eval.test,254-730-218338,KE,Nyeri,2026-02-09T10:08:53Z,active,f,,,KILELE,loyalty tier: silver
CT-005733,Sipho Kimani,ann.vermeulen.kil5507@vg-eval.test,0732670609,KE,Machakos,2026-02-04T01:45:05Z,bounced,TRUE,,,KILELE,referral programme member
CT-041371,Fatima Tazi,salma.njoroge.kil39740@vg-eval.test,+254 737 507 057,KE,Mombasa,2026-04-19T23:51:03Z,active,,,,KILELE,
CT-006232,Faith Cheruiyot,ann.cheruiyot.kil5985@vg-eval.test,254-731-056977,KE,Kericho,2026-02-02T00:16:37Z,active,,,,KILELE,imported from legacy CRM 2025
CT-061648,Karim Vermeulen,david.zahra.kil59203@vg-eval.test,254-706-707915,KE,Mombasa,2026-02-05T15:59:40Z,unsubscribed,,,,KILELE,
CT-014062,George Odhiambo,thandi.nkosi.kil13532@vg-eval.test,025732842056,KE,Machakos,2026-02-14T01:58:26Z,active,,,,KILELE,
CT-052088,Rachid Achieng,michael.elidrissi.kil50040@vg-eval.test,254-718-868927,RW,Nakuru,2026-03-16T03:37:42Z,active,Y,,,KILELE,loyalty tier: silver
CT-028940,James Wanjiru,thandi.tazi.kil27845@vg-eval.test,254-706-346211,KE,Machakos,2026-04-05T06:58:20Z,active,1,2026-02-04T16:12:56Z,,KILELE,referral programme member
CT-080408,Simon Tazi,david.otieno.kil77186@vg-eval.test,254-739-152868,ET,Machakos,2026-01-21T13:13:17Z,active,yes,,,KILELE,app install cohort Q1
CT-045585,Samuel Tazi,diana.barasa.kil43805@vg-eval.test,0714509338,SS,Kisumu,2026-02-23,active,yes,,,KILELE,loyalty tier: silver
CT-049758,James Bennani,paul.kimani.kil47810@vg-eval.test,025700671339,UG,Mombasa,2026-01-28T18:03:40Z,active,TRUE,,,KILELE,
CT-049381,David Kamau,yassine.fassi.kil47444@vg-eval.test,0701944939,KE,Thika,2026-03-14T04:29:22Z,pending,true,,,KILELE,loyalty tier: silver
CT-024759,Michael Berrada,omar.haddad.kil23821@vg-eval.test,+254 734 798 942,KE,Kericho,2026-01-02T21:02:52Z,active,yes,,,KILELE,
CT-046657,Johan Kiptoo,mercy.cheruiyot.kil44832@vg-eval.test,0728318935,KE,Malindi,2026-02-19T05:36:31Z,active,1,,,KILELE,
CT-002850,Grace Wanjiru,michael.kimani.kil2740@vg-eval.test,025707327247,KE,Eldoret,2026-02-20T22:23:23Z,active,TRUE,,,KILELE,imported from legacy CRM 2025
CT-013624,Isaac Naidoo,brian.fassi.kil13103@vg-eval.test,254-705-814033,TZ,Kisumu,2026-03-29T22:06:17Z,active,0,,,KILELE,loyalty tier: silver
CT-060625,Isaac Wanjiru,john.pretorius.kil58206@vg-eval.test,0737753285,KE,Kericho,2026-01-31T23:49:27Z,active,false,,,KILELE,
CT-053488,Sarah Berrada,grace.berrada.kil51386@vg-eval.test,254-709-847901,TZ,Malindi,2026-01-30T18:25:17Z,active,Y,,,KILELE,opted in at checkout
CT-025264,Sipho Njenga,samuel.vermeulen.kil24307@vg-eval.test,254-715-759888,KE,Machakos,2026-04-19T21:25:28Z,active,TRUE,,,KILELE,
CT-026430,Diana Vermeulen,yassine.kiptoo.kil25427@vg-eval.test,025735128258,TZ,Malindi,2026-02-13T07:21:21Z,active,Y,,,KILELE,imported from legacy CRM 2025
CT-023975,Nomsa Mwangi,john.tazi.kil23065@vg-eval.test,+254 720 567 497,KE,Eldoret,2026-02-06T03:20:30Z,unsubscribed,TRUE,,,KILELE,imported from legacy CRM 2025
CT-016703,Brian Fassi,faith.bennani.kil16073@vg-eval.test,+254 711 834 039,KE,Eldoret,2026-03-30T15:13:44Z,active,yes,,,KILELE,opted in at checkout
CT-016391,Nancy Njenga,nancy.nkosi.kil15773@vg-eval.test,+254 727 509 379,KE,Machakos,2026-03-23T10:14:00Z,active,1,,,KILELE,
CT-042642,Grace Mutua,brian.njoroge.kil40967@vg-eval.test,025735616339,KE,Kisumu,2026-02-25T19:40:56Z,active,no,,,KILELE,imported from legacy CRM 2025
CT-076636,Paul Barasa,victor.nkosi.kil73566@vg-eval.test,254-723-625696,Kenya,Nairobi,2026-02-24T12:44:39Z,active,TRUE,,,KILELE,acquired via web signup
CT-058445,Diana Haddad,victor.otieno.kil56115@vg-eval.test,0731598920,KE,Thika,2026-03-08T07:53:31Z,active,yes,,,KILELE,app install cohort Q1
CT-067038,Yassine Barasa,alice.kamau.kil64372@vg-eval.test,025737104857,ET,Nyeri,2026-01-07T18:01:47Z,active,Y,,,KILELE,
CT-032229,Isaac Nkosi,amina.odhiambo.kil30979@vg-eval.test,0730427185,KE,Kisumu,2026-02-22T04:48:26Z,active,true,,,KILELE,opted in at checkout
CT-013475,Amina Mokoena,layla.achieng.kil12959@vg-eval.test,+254 705 385 442,KE,Nairobi,2026-02-19T07:37:23Z,active,Y,,,KILELE,app install cohort Q1
CT-038701,David Otieno,mary.mwangi.kil37177@vg-eval.test,0712208035,KE,Kisumu,2026-01-26T19:00:32Z,active,,,,KILELE,imported from legacy CRM 2025
CT-033575,Lerato Barasa,james.wafula.kil32272@vg-eval.test,+254 736 952 662,KE,Mombasa,2026-03-15T15:52:07Z,pending,true,,,KILELE,
CT-071597,John Mokoena,layla.elidrissi.kil68747@vg-eval.test,0711701476,KE,Eldoret,2026-01-06T17:24:05Z,Active,TRUE,,,KILELE,opted in at checkout
CT-035205,Faith Mutua,karim.vermeulen.kil33829@vg-eval.test,0707875350,KE,Kisumu,2026-03-12T13:43:23Z,active,,,,KILELE,opted in at checkout
CT-042478,Omar Vermeulen,grace.achieng.kil40809@vg-eval.test,025715428785,TZ,Kericho,2026-03-16T15:31:14Z,active,Y,,,KILELE,
CT-022824,Amina Zahra,omar.nkosi.kil21957@vg-eval.test,254-701-538620,KE,Mombasa,2026-01-03T06:01:46Z,active,no,,,KILELE,
CT-076960,James Mokoena,john.tazi.kil73873@vg-eval.test,254-711-322727,KE,Nyeri,2026-02-15T14:00:43Z,active,yes,,,KILELE,imported from legacy CRM 2025
CT-057064,Salma Wafula,zanele.njoroge.kil54785@vg-eval.test,254-700-923106,SS,Mombasa,2026-04-04T23:24:54Z,active,0,,,KILELE,referral programme member
CT-010175,Samuel Wanjiru,caroline.mwangi.kil9779@vg-eval.test,+254 710 229 755,TZ,Nakuru,2026-04-19T23:43:33Z,active,yes,,,KILELE,opted in at checkout
CT-036358,Daniel Elidrissi,nancy.njoroge.kil34933@vg-eval.test,025717836580,TZ,Nyeri,2026-02-04T07:59:10Z,active,true,,,KILELE,app install cohort Q1
CT-053608,Kevin Alaoui,pieter.achieng.kil51501@vg-eval.test,254-715-401423,KE,Machakos,2026-02-26T17:56:16Z,active,Y,,,KILELE,opted in at checkout
CT-031600,Dennis Zahra,caroline.elidrissi.kil30384@vg-eval.test,254-710-142719,RW,Thika,2026-01-24T00:44:03Z,active,TRUE,,,KILELE,loyalty tier: silver
CT-033909,Grace Wanjiru,peter.mutua.kil32594@vg-eval.test,0735313826,KE,Malindi,2026-01-22T04:44:22Z,active,TRUE,,,KILELE,app install cohort Q1
CT-031414,Rose Achieng,fatima.alaoui.kil30207@vg-eval.test,025735327702,KE,Nairobi,2026-03-11T22:57:49Z,active,TRUE,,,KILELE,imported from legacy CRM 2025
CT-048065,Mary Pretorius,nancy.elidrissi.kil46181@vg-eval.test,0733096497,KE,Kericho,2026-02-05T13:01:52Z,active ,1,,,KILELE,imported from legacy CRM 2025
CT-050323,Joan Wafula,salma.alaoui.kil48355@vg-eval.test,+254 724 013 017,KE,Machakos,2026-03-15T00:32:20Z,active,1,,,KILELE,loyalty tier: silver
CT-006222,Ruth Okoth,samuel.vermeulen.kil5976@vg-eval.test,025710063748,\N,Kisumu,2026-03-02T12:12:57Z,active,1,,,KILELE,referral programme member
CT-035097,Faith Tazi,mary.njoroge.kil33725@vg-eval.test,,KE,Thika,2026-03-06T19:53:37Z,active,true,,,KILELE,
CT-013776,Paul Zahra,rachid.kiptoo.kil13253@vg-eval.test,254-705-166269,KE,Kisumu,2026-02-26T14:36:15Z,active,true,,,KILELE,
CT-074203,Grace Barasa,zanele.elidrissi.kil71242@vg-eval.test,+254 714 736 662,,Eldoret,2026-01-09T23:21:31Z,unsubscribed,TRUE,,,KILELE,referral programme member
CT-049141,Rose Bennani,peter.odhiambo.kil47217@vg-eval.test,0701798359,ET,Nakuru,2026-02-17T16:10:20Z,active,0,,,KILELE,loyalty tier: silver
CT-004473,Rose Zahra,nomsa.achieng.kil4294@vg-eval.test,0737929758,KE,Mombasa,2026-04-01T14:50:05Z,active,Y,,,KILELE,app install cohort Q1
CT-025528,Ann Tazi,,254-710-625063,KE,Kericho,2026-03-07T12:25:51Z,unsubscribed,TRUE,,,KILELE,
CT-063208,Sarah Otieno,nomsa.elidrissi.kil60701@vg-eval.test,,KE,Eldoret,2026-02-16T07:21:26Z,active,yes,,,KILELE,
CT-043074,Fatima Mutua,kevin.odhiambo.kil41385@vg-eval.test,,KE,Nakuru,2026-04-10T03:39:09Z,active,1,,,KILELE,
CT-017932,Lucy Vermeulen,isaac.otieno.kil17267@vg-eval.test,254-722-044802,TZ,Malindi,2026-01-25T19:04:29Z,active,false,,,KILELE,app install cohort Q1
CT-023979,Layla Achieng,brian.tazi.kil23069@vg-eval.test,+254 700 989 087,KE,Malindi,2026-03-02T03:56:31Z,active,TRUE,,,KILELE,
CT-071762,Ann Wanjiru,simon.wafula.kil68909@vg-eval.test,025722028889,RW,Mombasa,2026-03-14T10:09:56Z,active,TRUE,,,KILELE,acquired via web signup
CT-027925,Salma Pretorius,layla.dlamini.kil26868@vg-eval.test,0735167507,KE,Kericho,2026-02-08T11:24:58Z,active,true,,,KILELE,loyalty tier: silver
CT-044082,Layla Fassi,ann.mutua.kil42358@vg-eval.test,025700932831,KE,Malindi,2026-01-13T19:00:54Z,unsubscribed,yes,,,KILELE,loyalty tier: silver
CT-046677,Omar Haddad,mercy.benali.kil44850@vg-eval.test,0712947952,TZ,Malindi,2026-02-27T04:32:01Z,active,true,,,KILELE,loyalty tier: silver
CT-044895,Salma Berrada,nomsa.mutua.kil43139@vg-eval.test,+254 720 401 488,KE,Malindi,2026-03-19T15:49:50Z,active,yes,,,KILELE,
CT-077282,Rachid Kimani,dennis.vermeulen.kil74180@vg-eval.test,025722188479,TZ,Kisumu,2026-03-11T18:27:45Z,active,false,,,KILELE,imported from legacy CRM 2025
CT-074441,Sipho Dlamini,kevin.nkosi.kil71469@vg-eval.test,0716308657,KE,Thika,2026-04-08T01:09:46Z,active,FALSE,,,KILELE,imported from legacy CRM 2025
CT-001114,Faith Otieno,john.otieno.kil1077@vg-eval.test,025729962617,KE,Mombasa,2026-04-15T18:48:12Z,unsubscribed,true,,,KILELE,loyalty tier: silver
CT-041407,Sarah Barasa,simon.mutua.kil39773@vg-eval.test,+254 733 837 408,UG,Nyeri,2026-04-10T08:36:31Z,active,1,,,KILELE,acquired via web signup
CT-063093,Joan Njenga,george.dlamini.kil60591@vg-eval.test,0729961031,KE,Kisumu,2026-03-20T10:03:30Z,active,true,,,KILELE,opted in at checkout
CT-051804,Kevin Tazi,faith.bennani.kil49772@vg-eval.test,,KE,Nairobi,2026-01-12T14:50:28Z,active,false,,,KILELE,
