Full Name,Email,External Id,Phone,Country,Status,City,Signup At,Consent Marketing,Brand Code,Deleted At,Suppressed Until,Notes
Isaac Okoth,joan.njenga.kar10760@vg-eval.test,CT-010760,254-738-473384,ZA,active,Pretoria,2026-01-18T16:37:59Z,FALSE,KAROO,,,
Sarah Otieno,zanele.pretorius.kar9625@vg-eval.test,CT-009625,0714571755,ZA,active,Johannesburg,2026-01-19T13:12:40Z,Y,KAROO,,,
Diana Naidoo,DAVID.TAZI.KAR8922@VG-EVAL.TEST,CT-008922,025737611373,ZA,active,Durban,2026-04-03T00:39:50Z,Y,KAROO,,,
Esther Mutua,daniel.vermeulen.kar6220@vg-eval.test,CT-006220,254-725-033849,ZA,active,Durban,2026-03-05T12:41:17Z,1,KAROO,,,
John Berrada,rachid.dlamini.kil59204@vg-eval.test,CT-006726,025736535010,ZA,unsubscribed,Durban,2026-01-30T21:10:09Z,1,KAROO,,,
Paul Odhiambo,daniel.kimani.kar4382@vg-eval.test,CT-004382,025708903934,ZA,active,Pretoria,2026-01-01T23:23:34Z,no,KAROO,,,
John Wanjiru,isaac.achieng.kar7751@vg-eval.test,CT-007751,+254 713 421 842,ZA,active,Pretoria,2026-04-17T04:42:09Z,true,KAROO,,,
Karim Odhiambo,yassine.benali.kar8089@vg-eval.test,CT-008089,0708682281,ZA,active,East London,2026-04-11T06:47:18Z,1,KAROO,,,
Victor Njoroge,james.otieno.kar4270@vg-eval.test,CT-004270,025727494260,ZA,active,Johannesburg,2026-03-07T02:58:43Z,no,KAROO,,,
Salma Barasa,mary.njenga.kar521@vg-eval.test,CT-000521,0710663274,ZA,unsubscribed,East London,2026-03-25T19:59:40Z,yes,KAROO,,,
Simon Naidoo,yassine.zahra.kil5545@vg-eval.test,CT-001107,+254 728 503 121,ZA,active,Cape Town,2026-03-28T08:03:58Z,FALSE,KAROO,,,
Dennis Cheruiyot,victor.wanjiru.kar3581@vg-eval.test,CT-003581,0709308519,ZA,active,Pretoria,2026-01-23T18:12:13Z,true,KAROO,,,
Fatima Okoth,george.wanjiru.kar9775@vg-eval.test,CT-009775,+254 733 779 817,ZA,active,Cape Town,2026-02-20T12:04:20Z,TRUE,KAROO,,,
Joan Alaoui,nomsa.haddad.kar8404@vg-eval.test,CT-008404,254-736-392909,ZA,active,Pretoria,2026-03-20T07:50:51Z,FALSE,KAROO,,,
Dennis Kamau,nomsa.tazi.kar5669@vg-eval.test,CT-005669,0707153823,ZA,active,Cape Town,2026-04-01T08:18:12Z,true,KAROO,,,
Esther Elidrissi,victor.cheruiyot.kar4392@vg-eval.test,CT-004392,254-723-307267,ZA,active,Bloemfontein,2026-04-16T06:24:56Z,FALSE,KAROO,,,
Michael Okoth,johan.njoroge.kar7699@vg-eval.test,CT-007699,+254 708 713 370,ZA,active,Pretoria,2026-01-18T02:30:48Z,true,KAROO,,,
Zanele Alaoui,dennis.barasa.kar7178@vg-eval.test,CT-007178,025713489323,ZA,active,Polokwane,2026-04-06T23:24:02Z,true,KAROO,,,
Dennis Haddad,nancy.vermeulen.kar3385@vg-eval.test,CT-003385,0724070139,ZA,active,Bloemfontein,2026-02-13T17:45:33Z,no,KAROO,,,
Simon Njenga,faith.nkosi.kar4153@vg-eval.test,CT-004153,0708899837,ZA,active,Gqeberha,2026-02-12T11:10:38Z,Y,KAROO,,,
Rose Kamau,paul.njoroge.kar12354@vg-eval.test,CT-012354,025715095007,ZA,active,Pretoria,2026-04-10T17:27:26Z,1,KAROO,,,
James Okoth,esther.berrada.kil28471@vg-eval.test,CT-007188,254-710-002079,ZA,active,Polokwane,2026-03-28T23:23:31Z,Y,KAROO,,,
Sarah Kiptoo,kevin.mwangi.kar8179@vg-eval.test,CT-008179,+254 712 358 411,ZA,active,Durban,2026-03-29T05:18:19Z,false,KAROO,,,
Peter Mwangi,victor.naidoo.kar2189@vg-eval.test,CT-002189,0720996698,ZA,unsubscribed,Polokwane,2026-03-27T10:58:27Z,FALSE,KAROO,,,
David Kiptoo,mercy.berrada.kar10558@vg-eval.test,CT-010558,025706644054,ZA,active,East London,2026-03-12T09:50:40Z,0,KAROO,,,
Karim Benali,johan.kiptoo.kar1905@vg-eval.test,CT-001905,0729538670,ZA,active,Johannesburg,2026-01-06T10:00:33Z,no,KAROO,,,
James Achieng,victor.okoth.kar9796@vg-eval.test,CT-009796,254-706-257261,ZA,active,East London,2026-03-02T18:33:23Z,0,KAROO,,,
Nomsa Berrada,michael.cheruiyot.kar7266@vg-eval.test,CT-007266,025731896220,ZA,active,Gqeberha,2026-01-20T11:02:55Z,f,KAROO,,,
Ruth Nkosi,mary.kiptoo.kar11369@vg-eval.test,CT-011369,0716106102,ZA,active,Gqeberha,2026-03-20T00:32:30Z,false,KAROO,,,
Nancy Wanjiru,pieter.barasa.kar7877@vg-eval.test,CT-007877,0716742100,ZA,active,Bloemfontein,2026-01-04T14:59:45Z,TRUE,KAROO,,,
Joan Bennani,nomsa.pretorius.kar3678@vg-eval.test,CT-003678,025727763638,ZA,active,Gqeberha,2026-02-04T21:37:54Z,true,KAROO,,,
Paul Njoroge,esther.odhiambo.kar7366@vg-eval.test,CT-007366,025719508824,ZA,active,Pretoria,2026-03-31T12:51:01Z,true,KAROO,,,
Daniel Wanjiru,layla.mokoena.kar11401@vg-eval.test,CT-011401,0725917178,ZA,unsubscribed,Polokwane,2026-02-04T13:31:39Z,TRUE,KAROO,,,
George Vermeulen,yassine.kamau.kar5317@vg-eval.test,CT-005317,0715274086,ZA,unsubscribed,Johannesburg,2026-01-21T08:08:52Z,Y,KAROO,,,
Paul Njoroge,peter.nkosi.kar6502@vg-eval.test,CT-006502,025700714681,ZA,active,Pretoria,2026-03-26T16:40:59Z,TRUE,KAROO,,,
Layla Njoroge,simon.mokoena.kar346@vg-eval.test,CT-000346,025700735293,ZA,active,Polokwane,2026-04-03T12:40:27Z,TRUE,KAROO,,,
Diana Wafula,james.naidoo.kar5098@vg-eval.test,CT-005098,025725684905,ZA,active,Gqeberha,2026-04-04T04:04:44Z,Y,KAROO,,,
Faith Berrada,diana.wafula.kar5389@vg-eval.test,CT-005389,0721168382,ZA,active,Polokwane,2026-03-13T15:10:58Z,true,KAROO,,,
Peter Nkosi,diana.okoth.kar11557@vg-eval.test,CT-011557,0731950329,ZA,active,Bloemfontein,2026-04-01T01:06:10Z,0,KAROO,,,
Salma Njenga,david.naidoo.kar119@vg-eval.test,CT-000119,+254 707 581 394,ZA,active,Gqeberha,2026-03-30T07:46:32Z,TRUE,KAROO,,,
Thandi Zahra,amina.naidoo.kar4865@vg-eval.test,CT-004865,0708985376,ZA,unsubscribed,Durban,2026-03-11T08:59:32Z,f,KAROO,,,
Karim Njenga,brian.naidoo.kar11713@vg-eval.test,CT-011713,0736375869,ZA,active,Durban,2026-03-23T20:01:11Z,FALSE,KAROO,,,
Michael Zahra,simon.barasa.kar9026@vg-eval.test,CT-009026,025714078425,ZA,active,Pretoria,2026-03-22T07:01:03Z,TRUE,KAROO,,,
Esther Okoth,ann.berrada.kar6386@vg-eval.test,CT-006386,025709982699,ZA,active,Bloemfontein,2026-03-30T23:21:18Z,yes,KAROO,,,
Grace Berrada,AMINA.BARASA.KAR3497@VG-EVAL.TEST,CT-003497,0702123575,ZA,active,Durban,2026-01-01T14:49:31Z,1,KAROO,,,
Dennis Zahra,lerato.njenga.kar3562@vg-eval.test,CT-003562,025728940219,ZA,active,Pretoria,2026-04-02T13:01:33Z,1,KAROO,,,
John Naidoo,ann.cheruiyot.kar4180@vg-eval.test,CT-004180,254-723-781353,ZA,active,Durban,2026-04-07T19:57:55Z,no,KAROO,,,
Dennis Okoth,alice.mutua.kar5800@vg-eval.test,CT-005800,254-721-690621,ZA,active,East London,2026-01-14T02:00:03Z,false,KAROO,,,
Mercy Barasa,isaac.zahra.kar708@vg-eval.test,CT-000708,254-723-944470,ZA,active,Durban,2026-03-11T17:48:25Z,no,KAROO,,,
Caroline Njenga,john.fassi.kil31321@vg-eval.test,CT-008022,025732893495,ZA,active,Polokwane,2026-04-13T09:08:16Z,0,KAROO,,,
Yassine Otieno,thandi.zahra.kar9135@vg-eval.test,CT-009135,+254 720 179 585,ZA,active,Pretoria,2026-02-10T11:01:37Z,Y,KAROO,,,
Brian Elidrissi,dennis.tazi.kar9687@vg-eval.test,CT-009687,+254 710 795 015,ZA,active,Polokwane,2026-03-22T12:06:42Z,1,KAROO,,,
Karim Wanjiru,lerato.mutua.kar8909@vg-eval.test,CT-008909,0710618623,ZA,active,Bloemfontein,2026-01-05T01:51:11Z,TRUE,KAROO,,,
Thandi Odhiambo,johan.tazi.kar2813@vg-eval.test,CT-002813,0716828357,ZA,active,Cape Town,2026-01-04T15:35:50Z,1,KAROO,,,
Nancy Elidrissi,joan.nkosi.kar2738@vg-eval.test,CT-002738,025712739756,ZA,active,Gqeberha,2026-02-20T11:32:06Z,1,KAROO,,,
James Mokoena,faith.bennani.kar11226@vg-eval.test,CT-011226,025737905533,ZA,active,Gqeberha,2026-02-16T21:28:38Z,no,KAROO,,,
Kevin Pretorius,diana.haddad.kar6641@vg-eval.test,CT-006641,0726286561,ZA,active,Durban,2026-03-11T04:37:26Z,f,KAROO,,,
Nancy Vermeulen,james.achieng.kil71353@vg-eval.test,CT-012091,+254 713 785 447,ZA,active,Bloemfontein,2026-02-02T07:12:34Z,yes,KAROO,,,
Victor Okoth,rose.okoth.kar4706@vg-eval.test,CT-004706,025702337497,ZA,active,Pretoria,2026-01-22T21:50:31Z,TRUE,KAROO,,,
Mary Dlamini,simon.dlamini.kil21616@vg-eval.test,CT-000290,025700686847,ZA,active,Pretoria,2026-01-21T04:52:46Z,true,KAROO,,,
Samuel Kamau,sarah.mokoena.kar7474@vg-eval.test,CT-007474,025726503076,ZA,active,Johannesburg,2026-03-01T22:37:12Z,0,KAROO,,,
Victor Kamau,isaac.nkosi.kar12162@vg-eval.test,CT-012162,025734887704,ZA,active,Polokwane,2026-01-29T14:46:50Z,Y,KAROO,,,
Peter Haddad,daniel.zahra.kil44674@vg-eval.test,CT-010513,0702318171,ZA,active,Pretoria,2026-02-14T05:25:36Z,1,KAROO,,,
Johan Otieno,james.tazi.kar7852@vg-eval.test,CT-007852,254-737-174278,ZA,active,East London,2026-02-13T19:17:49Z,1,KAROO,,,
Zanele Benali,mary.benali.kar12398@vg-eval.test,CT-012398,025713593406,ZA,active,Durban,2026-01-11T18:08:17Z,no,KAROO,,,
Alice Mutua,michael.njoroge.kar8041@vg-eval.test,CT-008041,0710643045,ZA,active,East London,2026-01-24T06:38:03Z,0,KAROO,,,
Isaac Okoth,sipho.berrada.kar10084@vg-eval.test,CT-010084,254-716-655128,ZA,active,Johannesburg,2026-03-30T00:10:38Z,f,KAROO,,,
Johan Naidoo,amina.naidoo.kar9911@vg-eval.test,CT-009911,+254 724 739 381,ZA,active,Pretoria,2026-02-05T18:52:05Z,Y,KAROO,,,
Layla Tazi,ruth.otieno.kar6140@vg-eval.test,CT-006140,254-710-208233,ZA,active,Durban,2026-03-17T12:01:24Z,0,KAROO,,,
Salma Berrada,rachid.naidoo.kar1236@vg-eval.test,CT-001236,254-719-330149,ZA,active,East London,2026-02-17T12:59:48Z,Y,KAROO,,,
Pieter Fassi,james.bennani.kar7371@vg-eval.test,CT-007371,+254 722 904 656,ZA,active,Johannesburg,2026-02-10T22:19:57Z,FALSE,KAROO,,,
Sipho Achieng,salma.achieng.kil44427@vg-eval.test,CT-012272,254-726-167804,ZA,bounced,Johannesburg,2026-04-13T22:17:38Z,false,KAROO,,,
David Zahra,george.tazi.kar1929@vg-eval.test,CT-001929,0734991302,ZA,bounced,Gqeberha,2026-04-12T15:52:12Z,false,KAROO,,,
Ruth Nkosi,alice.odhiambo.kar9606@vg-eval.test,CT-009606,025714237008,ZA,active,Gqeberha,2026-01-07T19:35:54Z,false,KAROO,,,
Rachid Mokoena,sipho.mwangi.kar6398@vg-eval.test,CT-006398,025738660878,ZA,active,Polokwane,2026-04-03T13:07:37Z,1,KAROO,,,
Paul Njoroge,ISAAC.DLAMINI.KAR7654@VG-EVAL.TEST,CT-007654,025727762387,ZA,active,Durban,2026-03-26T23:05:13Z,TRUE,KAROO,,,
Yassine Mwangi,esther.tazi.kar8331@vg-eval.test,CT-008331,+254 722 811 556,ZA,active,Gqeberha,2026-03-01T10:10:49Z,0,KAROO,,,
Isaac Mokoena,alice.wanjiru.kar8259@vg-eval.test,CT-008259,+254 710 776 673,ZA,active,Gqeberha,2026-01-11T08:47:57Z,1,KAROO,,,
Paul Odhiambo,daniel.kamau.kar1235@vg-eval.test,CT-001235,+254 710 944 522,ZA,active,Cape Town,2026-02-11T09:25:25Z,0,KAROO,,,
